wgt	income	liq	fin	asset	networth
9277.70517	37660.21657	21270.34056	92881.13224	181910.7651	181910.7651
9351.156489	37660.21657	7915.895621	48559.85847	137589.4914	137589.4914
9482.938264	37660.21657	23225.12163	37547.27996	126576.9129	126576.9129
9727.445112	37660.21657	18347.84609	82216.93056	171246.5635	171246.5635
9463.61396	37660.21657	774.1707209	32708.71296	121738.3459	121738.3459
5735.955306	97123.71641	658.0451128	1819.301194	20012.31314	17476.90402
5796.570112	97123.71641	658.0451128	1819.301194	20012.31314	17476.90402
5743.952054	97123.71641	658.0451128	1819.301194	20012.31314	17476.90402
5834.228927	97123.71641	658.0451128	1819.301194	20012.31314	17476.90402
5752.595603	97123.71641	658.0451128	1819.301194	20012.31314	17476.90402
4037.571187	35678.09991	0	0	1741.884122	1741.884122
3975.325192	35678.09991	0	0	1741.884122	1741.884122
3984.810569	35678.09991	0	0	1741.884122	1741.884122
3959.323029	35678.09991	0	0	1741.884122	1741.884122
3975.629637	35678.09991	0	0	1741.884122	1741.884122
5269.555968	39642.33323	96.77134011	96.77134011	84481.37992	84481.37992
5153.818527	15262.29829	96.77134011	96.77134011	84481.37992	84481.37992
5195.408129	23785.39994	96.77134011	96.77134011	84481.37992	84481.37992
5380.785579	16253.35662	96.77134011	96.77134011	84481.37992	84481.37992
5258.397647	21803.28328	96.77134011	96.77134011	84481.37992	84481.37992
10719.17961	33695.98324	15483.41442	36773.10924	137221.7603	137221.7603
10804.04304	33695.98324	15483.41442	36773.10924	137221.7603	137221.7603
10956.29971	33695.98324	15483.41442	36773.10924	137221.7603	137221.7603
11238.79552	33695.98324	15483.41442	36773.10924	137221.7603	137221.7603
10933.973	33695.98324	15483.41442	36773.10924	137221.7603	137221.7603
4145.606706	25767.5166	0	0	182317.2048	181755.931
4111.195763	25767.5166	0	0	182317.2048	181891.4109
4091.74682	25767.5166	0	0	182317.2048	181872.0566
4017.420862	25767.5166	0	0	182317.2048	181678.5139
4095.986099	25767.5166	0	0	182317.2048	181852.7023
3676.299028	93159.48309	11225.47545	104125.962	869780.805	623981.6011
3822.532451	93159.48309	11225.47545	104125.962	869780.805	623981.6011
3779.582462	93159.48309	11225.47545	104125.962	869780.805	623981.6011
3570.089875	93159.48309	11225.47545	104125.962	869780.805	623981.6011
3803.353076	93159.48309	11225.47545	104125.962	869780.805	623981.6011
23.77978164	5212966.82	127080.1238	436976134.5	453271073.4	453271073.4
25.70395045	5728317.152	115970.774	436941800.1	451325505	451325505
25.11377409	6382415.65	114577.2667	436965567.1	452772584.9	452772584.9
22.19783711	5807601.818	117770.7209	436943600	447596963.3	447596963.3
23.92156353	5629211.318	126383.3702	436952212.6	449114821.8	449114821.8
4791.751548	134783.933	9193.277311	141770.0133	447954.5334	236605.9266
4725.82713	134783.933	9193.277311	128222.0257	434406.5458	223057.939
4721.838298	134783.933	9193.277311	134028.3061	440212.8262	228864.2194
4772.340451	134783.933	9193.277311	137899.1597	444083.6798	232735.073
4738.954475	134783.933	9193.277311	128222.0257	434406.5458	223057.939
7348.588939	1883.010828	0	0	0	0
7379.304636	1922.653162	0	0	0	0
7380.902192	1942.474328	0	0	0	0
7365.626093	1902.831995	0	0	0	0
7384.243827	1922.653162	0	0	0	0
5180.22289	49552.91654	2806.368863	2806.368863	167317.6471	47127.64264
5133.984151	49552.91654	2806.368863	2806.368863	167317.6471	46159.92923
5203.824257	49552.91654	2806.368863	2806.368863	167317.6471	48482.4414
5141.457504	49552.91654	2806.368863	2806.368863	167317.6471	49063.06944
5187.154139	49552.91654	2806.368863	2806.368863	167317.6471	47127.64264
6477.177796	9315.948309	0	0	8709.42061	8709.42061
6477.258989	14865.87496	0	0	8709.42061	8709.42061
6475.213695	23785.39994	0	19.35426802	8728.774878	8728.774878
6505.271231	27749.63326	0	0	8709.42061	8709.42061
6492.045446	8919.524976	0	0	8709.42061	8709.42061
6830.866614	13081.96997	1083.839009	1083.839009	15793.08271	15793.08271
6808.334131	13081.96997	1083.839009	1083.839009	15793.08271	15793.08271
6824.187022	13081.96997	1083.839009	1083.839009	15793.08271	15793.08271
6837.550374	13081.96997	1083.839009	1083.839009	15793.08271	15793.08271
6824.41364	13081.96997	1083.839009	1083.839009	15793.08271	15793.08271
737.7158388	225961.2994	59030.51747	92900.48651	1038646.793	936069.1729
627.6125001	225961.2994	59030.51747	92900.48651	1038646.793	936069.1729
626.0515761	225961.2994	59030.51747	92900.48651	1038646.793	936069.1729
637.7092367	225961.2994	59030.51747	92900.48651	1038646.793	936069.1729
620.3739104	225961.2994	59030.51747	92900.48651	1038646.793	936069.1729
3680.715151	95141.59975	387.0853605	677.3993808	42869.70367	11477.08094
3623.970697	95141.59975	387.0853605	677.3993808	42869.70367	11477.08094
3632.617719	95141.59975	387.0853605	677.3993808	42869.70367	11477.08094
3609.382866	95141.59975	387.0853605	677.3993808	42869.70367	11477.08094
3624.248234	95141.59975	387.0853605	677.3993808	42869.70367	11477.08094
26.67063876	4776901.154	248508.8014	7007019.195	45835551.7	45078799.82
29.97765649	1732369.962	255669.8806	3654279.345	50259356.74	49506475.72
16.31965653	4281371.989	249670.0575	6027693.233	121382749.9	120632965.6
15.66249146	1595603.912	270185.5816	3392029.014	46273112.99	45508619.41
15.64132276	3329955.991	251218.3989	3189196.285	55823128.17	55085730.56
6685.118581	7135.619981	0	0	0	0
6732.434294	7135.619981	0	0	0	0
6734.767514	7135.619981	0	0	0	0
6718.410602	7135.619981	0	0	0	0
6739.931006	7135.619981	0	0	0	0
4083.629796	49552.91654	7741.707209	352247.678	603853.1623	586434.3211
4245.468339	49552.91654	7741.707209	352247.678	603853.1623	586434.3211
4197.472925	49552.91654	7741.707209	352247.678	603853.1623	586434.3211
3979.162033	49552.91654	7741.707209	352247.678	603853.1623	586434.3211
4218.80987	49552.91654	7741.707209	352247.678	603853.1623	586434.3211
11599.43884	10307.00664	658.0451128	1238.673153	1238.673153	-7548.164529
11622.46715	10307.00664	658.0451128	1625.758514	1625.758514	-7161.079169
11593.96589	10307.00664	658.0451128	948.3591331	948.3591331	-7838.478549
11610.75307	10307.00664	658.0451128	1625.758514	1625.758514	-7161.079169
11688.57899	10307.00664	658.0451128	1238.673153	1238.673153	-7548.164529
216.0842989	665991.1982	27966.91729	333764.3521	2104950.836	2104950.836
179.3450496	1038629.131	82042.74215	356873.3481	2405406.493	2405406.493
179.8032821	499493.3987	223696.6298	453625.3339	2080835.418	2080835.418
186.7526749	1038629.131	52837.1517	143802.2114	2178816.4	2178816.4
257.8832836	832488.9978	27173.3923	389098.2043	2992624.662	2992624.662
2709.314853	124873.3497	2903.140203	306765.1482	521597.5232	521597.5232
2823.255331	124873.3497	2903.140203	306765.1482	530306.9438	530306.9438
2787.905335	124873.3497	2903.140203	306765.1482	521345.9177	521345.9177
2637.055747	124873.3497	2903.140203	306765.1482	521945.9	521945.9
2806.703733	124873.3497	2903.140203	306765.1482	522100.7342	522100.7342
904.3492874	442012.0155	35805.39584	7613001.327	10029188.15	9371143.034
719.2049707	442012.0155	35805.39584	7613001.327	10017575.59	9359530.473
703.4716844	442012.0155	35805.39584	7613001.327	9971125.343	9313080.23
702.2822174	442012.0155	35805.39584	7613001.327	9959512.782	9301467.669
721.9559053	442012.0155	35805.39584	7613001.327	9959512.782	9301467.669
5226.89157	83248.89978	1161.256081	15096.32906	210961.5215	81868.55374
5180.236266	83248.89978	1161.256081	15096.32906	210961.5215	81868.55374
5250.705562	83248.89978	1161.256081	15096.32906	210961.5215	81868.55374
5187.776947	83248.89978	1161.256081	15096.32906	210961.5215	81868.55374
5233.885263	83248.89978	1161.256081	15096.32906	210961.5215	81868.55374
