wgt	income	liq	fin	asset	networth
3027.95612	38804.73447	13100	258100	957100	762100
3054.900065	38264.27856	7300	184300	1067300	854300
3163.637766	36102.45491	5200	175200	957200	678200
3166.228463	33508.26653	51600	93600	828600	279600
3235.624715	35561.999	7600	34600	825600	602600
236.6347541	224829.6593	40500	140500	1240500	721800
245.848398	224829.6593	42500	142500	1242500	723800
253.103477	224829.6593	41100	141100	1241100	721400
252.9081179	224829.6593	44000	144000	1244000	724300
253.8113115	224829.6593	42300	142300	1241300	722600
678.8693075	445335.6713	10890	60492890	61177590	43597590
671.8323704	461549.3487	8480	60671480	61291510	44451510
619.9533488	469115.7315	8290	60765290	62086890	41056890
691.5135948	444254.7595	16480	60477480	62720180	44730180
671.7729156	502623.998	14280	60230280	62430180	43740180
621.9488539	152408.5671	164000	2163000	2203000	2203000
653.291176	149165.8317	165000	1966000	2006000	2006000
597.169074	145923.0962	165000	1960000	2000000	2000000
611.8923898	145923.0962	164000	2314000	2354000	2354000
612.0693479	144842.1844	165000	1960000	2000000	2000000
7191.481109	56207.41483	1100	1100	15100	4100
7352.487205	58369.23848	1500	1500	15500	5500
7270.703541	61611.97395	1500	1500	14500	4500
7383.866596	67016.53307	1600	1600	15600	5600
7330.537669	59450.1503	1500	1500	15500	4500
3486.222888	283198.8978	184000	5728000	7343000	7232000
3675.383207	264066.7585	164000	5022000	6635000	6523000
3839.762977	272714.0531	162000	4913000	6527000	6371000
3695.658306	276821.518	177000	6010000	7623000	7474000
3530.778202	269687.5	176000	5284170	6897170	6791170
58.66907604	13435733.97	117000	13436800	70669800	70669800
57.86339895	14019426.35	118000	13614800	73429800	73429800
58.18272061	13349261.02	118000	14356800	76810800	76810800
59.45197312	14462600.2	121000	14347800	73633800	73633800
59.19887069	13468161.32	115000	14570800	74328800	74328800
2459.293218	39993.73747	1500	1500	1500	1500
2472.836416	39993.73747	1500	1500	1500	1500
2435.570335	38912.82565	1500	1500	1500	1500
2476.151193	39993.73747	1500	1500	1500	1500
2441.128129	39993.73747	1500	1500	1500	1500
3550.941348	670165.3307	215000	295000	7331100	6406100
3645.393885	670165.3307	215000	295000	7331100	6405100
3789.185846	670165.3307	215000	295000	7330200	6405200
3639.105731	670165.3307	215000	295000	12191200	11266200
