wgt	income	liq	fin	asset	networth
33.197696	1312120.113	60534.66667	2622318	189176121	189176121
332.6393769	863042.3842	3774.3	919087.6333	60329851.63	60329851.63
349.7018196	1387890.429	93354.66667	1677831.333	49130993	49130993
342.7358547	615402.8136	3354.933333	958781.6	61013182.27	61013182.27
369.4534654	726286.2034	37925.33333	843838.6667	49198638.67	49198638.67
29.17115264	2457915.141	1559497	8428905.333	44122551.6	44122551.6
30.0433409	2476395.706	1365676.667	8058221.667	43765105.33	43765105.33
32.28937243	2457915.141	1563326	8421794.333	44254305.67	44254305.67
30.12508445	2457915.141	1569343	8444221.333	44354771.33	44354771.33
32.53636765	2439434.576	1430769.667	8101434.667	43921365	43921365
4464.934332	2217.667797	7038.066667	7038.066667	371704.7333	317004.7333
4554.323641	2217.667797	4706.023333	4706.023333	369372.69	327436.0233
4410.272975	2217.667797	3285.646667	3285.646667	367952.3133	295018.98
4487.779069	2217.667797	3903.756667	3903.756667	368570.4233	335750.4233
4301.866592	2217.667797	9811.356667	10358.35667	375025.0233	334911.69
2157.627567	164477.0282	58346.66667	2062190	2643833.333	2643833.333
2224.273231	166325.0847	58346.66667	2060366.667	2638363.333	2638363.333
2503.142162	166325.0847	60170	2062190	2640186.667	2640186.667
2712.900175	166325.0847	58346.66667	2060366.667	2642010	2642010
2191.401366	164477.0282	58346.66667	2060366.667	2640186.667	2640186.667
5023.768949	22176.67797	0	0	0	-273.5
5006.640729	22176.67797	0	0	0	-273.5
5009.143597	24024.73446	0	0	0	-273.5
5044.784248	24024.73446	0	0	0	-273.5
5005.976613	22176.67797	0	0	0	-273.5
33.29802022	1402674.881	2474245.1	18326305.1	56613752.43	56613752.43
34.89234326	972077.7175	4598464.9	23834631.57	50848408.9	50848408.9
30.18795191	964685.4915	5667813.433	26178490.1	52845834.1	52845834.1
29.31129625	1088505.277	6208267.667	25725227.67	59778895	59778895
29.89544583	1142098.915	3677663.333	17451123.33	47156140.67	47156140.67
9521.562362	5544.169492	1859.8	1859.8	15534.8	-2698.533333
9446.960321	5544.169492	1859.8	1859.8	15352.46667	-2880.866667
9660.172065	5544.169492	2042.133333	2042.133333	15352.46667	-4704.2
9613.241396	5544.169492	2042.133333	2042.133333	15534.8	-4521.866667
9783.278469	5544.169492	1859.8	1859.8	15352.46667	-2880.866667
6643.819251	105339.2203	41936.66667	211506.6667	398945.3333	316895.3333
6768.440617	105339.2203	43030.66667	212600.6667	400039.3333	317989.3333
7059.960695	103491.1638	42848.33333	212418.3333	399674.6667	317624.6667
6625.454444	105339.2203	41936.66667	211506.6667	398945.3333	316895.3333
6951.689704	105339.2203	43760	213330	400768.6667	318718.6667
14.87721258	4971271.977	272406	1306236	41276073	40546739.67
16.27156678	2032862.147	103930	1493310	36042103.5	35312770.17
15.83059994	3566749.04	8715.533333	1943272.2	136198952.2	135469618.9
12.79249865	5969222.486	33567.56667	1663627.567	29644756.17	28915422.83
15.42958126	2772084.746	140579	1491669	232605003.7	231875670.3
7084.522058	147844.5198	37378.33333	52147.33333	274776.3333	112682
7181.423532	147844.5198	37378.33333	52147.33333	274776.3333	117422.6667
7476.045329	147844.5198	37378.33333	52147.33333	274958.6667	94631
7120.002308	147844.5198	37378.33333	52147.33333	274776.3333	118152
7385.543613	147844.5198	37378.33333	52147.33333	274776.3333	117240.3333
38.05377347	2106784.407	345521.6667	13747021.67	19845561.13	19335027.8
42.18184383	2106784.407	345521.6667	13747021.67	19845561.13	19335027.8
48.78558675	2106784.407	345521.6667	13747021.67	19845561.13	19335027.8
43.51752977	2106784.407	345521.6667	13747021.67	19845561.13	19335027.8
40.86645779	2106784.407	345521.6667	13747021.67	19845561.13	19335027.8
5891.060215	166325.0847	10940	147690	585290	330935
5644.88274	166325.0847	10940	147690	581643.3333	329111.6667
5260.43721	166325.0847	10940	147690	583466.6667	330935
5755.047571	166325.0847	10940	147690	583466.6667	330935
5250.30875	166325.0847	10940	147690	585290	332758.3333
189.4635108	3234098.87	506886.6667	19457337	31004507	30289031
192.5816769	4342932.768	503240	17608477	29797460.33	28951433.67
150.3076167	2199187.232	446716.6667	18408920.33	29905037	29141060.33
