wgt,income,liq,fin,asset,networth
3027.956120463494,38804.73446893787,13100,258100,957100,762100
3054.900065122983,38264.27855711423,7300,184300,1067300,854300
3163.637765693508,36102.45490981964,5200,175200,957200,678200
3166.228463262177,33508.26653306613,51600,93600,828600,279600
3235.624714725865,35561.99899799599,7600,34600,825600,602600
236.6347540840046,224829.6593186373,40500,140500,1240500,721800
245.8483980171002,224829.6593186373,42500,142500,1242500,723800
253.1034770119427,224829.6593186373,41100,141100,1241100,721400
252.9081179490199,224829.6593186373,44000,144000,1244000,724300
253.8113115064596,224829.6593186373,42300,142300,1241300,722600
678.8693074694265,445335.6713426854,10890,60492890,61177590,43597590
671.8323703623448,461549.3486973948,8480,60671480,61291510,44451510
619.9533487808426,469115.7314629258,8290,60765290,62086890,41056890
691.5135947966958,444254.7595190381,16480,60477480,62720180,44730180
671.7729155681716,502623.9979959919,14280,60230280,62430180,43740180
621.9488538943858,152408.5671342685,164000,2163000,2203000,2203000
653.2911760285475,149165.8316633267,165000,1966000,2006000,2006000
597.1690739714556,145923.0961923848,165000,1960000,2000000,2000000
611.8923897958964,145923.0961923848,164000,2314000,2354000,2354000
612.0693479154959,144842.1843687375,165000,1960000,2000000,2000000
7191.481108679977,56207.41482965932,1100,1100,15100,4100
7352.48720467721,58369.23847695391,1500,1500,15500,5500
7270.703540673554,61611.9739478958,1500,1500,14500,4500
7383.866596488243,67016.53306613227,1600,1600,15600,5600
7330.537668639445,59450.1503006012,1500,1500,15500,4500
3486.222887985491,283198.8977955912,184000,5728000,7343000,7232000
3675.383207135626,264066.7585170341,164000,5022000,6635000,6523000
3839.762976831191,272714.0531062124,162000,4913000,6527000,6371000
3695.658305734678,276821.5180360721,177000,6010000,7623000,7474000
3530.778201558785,269687.5,176000,5284170,6897170,6791170
58.66907603843963,13435733.96793587,117000,13436800,70669800,70669800
57.86339894680526,14019426.35270541,118000,13614800,73429800,73429800
58.18272060893567,13349261.02204409,118000,14356800,76810800,76810800
59.45197311672244,14462600.2004008,121000,14347800,73633800,73633800
59.19887069018463,13468161.32264529,115000,14570800,74328800,74328800
2459.293217566148,39993.7374749499,1500,1500,1500,1500
2472.8364155938,39993.7374749499,1500,1500,1500,1500
2435.570335436865,38912.82565130261,1500,1500,1500,1500
2476.151192937278,39993.7374749499,1500,1500,1500,1500
2441.12812922322,39993.7374749499,1500,1500,1500,1500
3550.941348310073,670165.3306613227,215000,295000,7331100,6406100
3645.393884725729,670165.3306613227,215000,295000,7331100,6405100
3789.185845712552,670165.3306613227,215000,295000,7330200,6405200
3639.105730941978,670165.3306613227,215000,295000,12191200,11266200
2203.16836073048,670165.3306613227,215000,295000,23592100,22666100
7792.679093056645,43236.47294589179,27950,27950,394750,211350
7003.49169885031,43236.47294589179,27950,27950,397750,214350
7158.27555679317,43236.47294589179,27950,27950,398650,215250
7408.690446454459,43236.47294589179,27950,27950,396350,212950
7082.994739438186,43236.47294589179,27950,27950,396550,213150
1823.136754973125,211858.7174348697,20500,20500,506500,324500
1643.773084761567,211858.7174348697,20500,20500,505500,323500
