wgt	income	liq	fin	asset	networth
6859.959728	12026.08373	0	0	4611.169652	2720.590095
7218.403805	12026.08373	0	0	4611.169652	2974.204426
6982.387611	12026.08373	0	0	4611.169652	2513.08746
7057.994966	12026.08373	0	0	4611.169652	2536.143309
6934.706832	12026.08373	0	0	4611.169652	2789.75764
7375.788638	14431.30048	0	0	0	0
7257.432055	14431.30048	0	0	0	0
7263.712715	14431.30048	0	0	0	0
7257.620483	14431.30048	0	0	0	0
7312.275795	14431.30048	0	0	0	0
4193.294199	103424.3201	27667.01791	41500.52687	267447.8398	234477.9768
4119.279944	103424.3201	27667.01791	55334.03583	281281.3488	248311.4858
4062.825324	103424.3201	27667.01791	41500.52687	267447.8398	234477.9768
4174.563614	103424.3201	27667.01791	37811.59115	263758.9041	230789.0411
4209.849629	103424.3201	27667.01791	46111.69652	272059.0095	239089.1465
4743.208024	24052.16747	1083.624868	1083.624868	49500.90622	16899.93678
4668.727184	24052.16747	1083.624868	1083.624868	49500.90622	16899.93678
4888.915123	24052.16747	1083.624868	1083.624868	49500.90622	14594.35195
4893.965363	24052.16747	1083.624868	1083.624868	49500.90622	14594.35195
4800.121406	24052.16747	1083.624868	1083.624868	49500.90622	16899.93678
5971.319496	43293.90144	276.6701791	276.6701791	44082.78188	9499.009484
6205.990945	43293.90144	276.6701791	276.6701791	44082.78188	7193.424658
6139.062445	43293.90144	276.6701791	276.6701791	44082.78188	11804.59431
6146.366953	43293.90144	276.6701791	276.6701791	44082.78188	16415.76396
6088.49044	43293.90144	276.6701791	276.6701791	44082.78188	14110.17914
5767.627432	14431.30048	1152.792413	1152.792413	12680.71654	12680.71654
5910.223046	14431.30048	1152.792413	1152.792413	12680.71654	12680.71654
5697.654095	14431.30048	1152.792413	1152.792413	12680.71654	12680.71654
5838.295536	14431.30048	1152.792413	1152.792413	12680.71654	12680.71654
5783.319939	14431.30048	1152.792413	1152.792413	12680.71654	12680.71654
5767.627432	26457.38421	1337.239199	1337.239199	39679.11486	25845.6059
5910.223046	26457.38421	1337.239199	1337.239199	39679.11486	25845.6059
5697.654095	26457.38421	1337.239199	1337.239199	39679.11486	25845.6059
5838.295536	26457.38421	1337.239199	1337.239199	39679.11486	25845.6059
5783.319939	26457.38421	1337.239199	1337.239199	39679.11486	25845.6059
8168.769554	36078.2512	1152.792413	1152.792413	77121.81243	72971.75975
8040.498388	36078.2512	1152.792413	1152.792413	77121.81243	72948.7039
8419.706833	36078.2512	1152.792413	1152.792413	77121.81243	72994.8156
8428.404374	36078.2512	1152.792413	1152.792413	77121.81243	72971.75975
8266.785981	36078.2512	1152.792413	1152.792413	77121.81243	72971.75975
8734.388591	24052.16747	0	0	101445.7323	95773.99368
8795.168414	24052.16747	0	0	101445.7323	97434.01475
8805.725895	24052.16747	0	0	101445.7323	97480.12645
8808.111054	24052.16747	0	0	101445.7323	96073.7197
8866.433411	24052.16747	0	0	101445.7323	97387.90306
9068.67245	7215.65024	0	0	2305.584826	-4611.169652
9036.294914	12026.08373	0	0	2305.584826	-4611.169652
9019.817971	9620.866986	0	0	2305.584826	-4611.169652
9034.360314	7215.65024	0	0	2305.584826	-4611.169652
9104.255853	9620.866986	0	0	2305.584826	-4611.169652
10783.35217	9620.866986	0	0	0	0
10609.63463	4810.433493	0	0	0	0
10593.7476	4810.433493	0	0	0	0
10621.2833	4810.433493	0	0	0	0
10693.9578	4810.433493	0	0	0	0
7476.750971	69751.28565	7838.988409	9452.897787	242316.9652	145482.4025
7449.25852	69751.28565	7838.988409	9452.897787	242316.9652	145482.4025
7539.084213	69751.28565	7838.988409	9452.897787	242316.9652	145482.4025
7568.816317	69751.28565	7838.988409	9452.897787	242316.9652	145482.4025
7632.792673	69751.28565	7838.988409	9452.897787	242316.9652	145482.4025
10705.57278	88993.01962	4380.61117	13833.50896	235584.6575	61282.44468
10985.41667	88993.01962	4380.61117	14064.06744	235815.216	61513.00316
10848.64314	88993.01962	4380.61117	15908.5353	237659.6839	63357.47102
10785.84099	88993.01962	4380.61117	15332.13909	237083.2877	62781.07482
10927.09457	88993.01962	4380.61117	32047.62908	253798.7777	79496.56481
3627.510382	24052.16747	4426.722866	5118.398314	12035.15279	-14340.73762
3772.454367	24052.16747	4380.61117	29742.04426	36658.79874	10144.57323
3667.299994	24052.16747	3504.488936	8115.658588	15032.41307	-11228.1981
3695.254425	24052.16747	4495.890411	5533.403583	12450.15806	-13280.1686
3627.629441	24052.16747	4150.052687	31817.0706	38733.82508	12357.93467
4904.408586	19241.73397	0	0	0	-391.9494204
4822.504163	19241.73397	0	0	0	-553.3403583
4826.970628	19241.73397	0	0	0	-576.3962065
4824.264831	19241.73397	0	0	0	-230.5584826
4861.461063	19241.73397	0	0	0	-161.3909378
7061.597731	19241.73397	0	0	6916.754478	4841.728135
7165.494478	19241.73397	0	0	6916.754478	4841.728135
7171.575112	19241.73397	0	0	6916.754478	4841.728135
7187.040127	19241.73397	0	0	6916.754478	4841.728135
7260.849337	19241.73397	0	0	6916.754478	4841.728135
5037.644007	19241.73397	345.8377239	415.0052687	14248.51423	-4196.164384
4961.007442	19241.73397	253.6143309	899.1780822	14732.68704	-3711.99157
4976.647921	19241.73397	115.2792413	1268.071654	15101.58061	-3343.097998
4968.863532	19241.73397	115.2792413	1360.295047	15193.804	-3250.874605
5003.062479	19241.73397	1221.959958	3527.544784	17361.05374	-1083.624868
3791.756449	64940.85216	0	0	5279.789252	-691.6754478
3989.881904	64940.85216	0	0	5325.900948	-645.5637513
3859.426921	64940.85216	0	0	5348.956797	-622.5079031
3901.217936	64940.85216	0	0	5325.900948	-645.5637513
3833.07197	64940.85216	0	0	5233.677555	-3043.37197
5776.629009	12026.08373	691.6754478	2420.864067	2420.864067	2420.864067
5750.677375	7215.65024	691.6754478	1152.792413	1152.792413	1152.792413
5736.704296	9620.866986	691.6754478	2536.143309	2536.143309	2536.143309
5747.035705	9620.866986	691.6754478	5302.8451	5302.8451	5302.8451
5793.869336	7215.65024	691.6754478	5302.8451	5302.8451	5302.8451
4679.813436	48104.33493	2305.584826	4150.052687	112512.5395	107901.3699
4538.902049	48104.33493	2305.584826	6916.754478	115279.2413	110668.0717
4762.77813	48104.33493	2305.584826	6916.754478	115279.2413	110668.0717
4761.414531	48104.33493	2305.584826	6916.754478	115279.2413	110668.0717
4668.473398	48104.33493	2305.584826	4611.169652	112973.6565	108362.4868
5483.137895	57725.20192	15239.9157	98240.96944	178936.4384	178936.4384
5170.608292	19241.73397	67484.46786	68475.86934	149171.3383	149171.3383
5470.86326	103424.3201	27667.01791	34583.77239	115279.2413	115279.2413
5583.210931	67346.0689	108362.4868	140640.6744	221336.1433	221336.1433
5333.451249	79372.15264	15447.41834	20934.71022	101630.1791	101607.1233
8813.832608	125071.2708	4611.169652	69282.82403	284624.4468	126691.8862
8440.202488	125071.2708	4611.169652	69282.82403	284624.4468	126691.8862
8841.590201	125071.2708	4611.169652	69282.82403	284624.4468	126691.8862
8777.446271	125071.2708	4611.169652	69282.82403	284624.4468	126691.8862
8801.701186	125071.2708	4611.169652	69282.82403	284624.4468	126691.8862
6802.644159	14431.30048	0	18444.67861	18444.67861	18214.12013
6779.895279	14431.30048	0	18444.67861	18444.67861	18214.12013
6744.977636	14431.30048	0	18444.67861	18444.67861	18214.12013
6765.732229	14431.30048	0	18444.67861	18444.67861	18214.12013
6823.672959	14431.30048	0	18444.67861	18444.67861	18214.12013
8405.777625	0	0	0	0	0
8384.767357	0	0	0	0	0
8360.647311	0	0	0	0	0
8380.284291	0	0	0	0	0
8446.614987	0	0	0	0	0
6261.369255	12026.08373	0	0	0	-622.5079031
6160.49991	12026.08373	0	0	0	-622.5079031
6151.275088	12026.08373	0	0	0	-622.5079031
6167.263732	12026.08373	0	0	0	-622.5079031
6209.462283	12026.08373	0	0	0	-622.5079031
3117.871054	144313.0048	46111.69652	357365.6481	587924.1307	587924.1307
2871.284701	144313.0048	46111.69652	357365.6481	587924.1307	587924.1307
3059.060652	144313.0048	46111.69652	357365.6481	587924.1307	587924.1307
3030.728279	144313.0048	46111.69652	357365.6481	587924.1307	587924.1307
3042.503075	144313.0048	46111.69652	357365.6481	587924.1307	587924.1307
4170.357791	24052.16747	1383.350896	1383.350896	12911.27503	4080.885142
4208.309281	24052.16747	1383.350896	1383.350896	12911.27503	2766.701791
4266.239398	24052.16747	1383.350896	1383.350896	12911.27503	3412.265543
4313.128903	24052.16747	1383.350896	1383.350896	12911.27503	2905.036881
4252.931549	24052.16747	1383.350896	1383.350896	12911.27503	3412.265543
5767.627432	52914.76843	645.5637513	645.5637513	39840.5058	19597.47102
5910.223046	52914.76843	645.5637513	645.5637513	39840.5058	19528.30348
5697.654095	52914.76843	645.5637513	645.5637513	39840.5058	19528.30348
5838.295536	52914.76843	645.5637513	645.5637513	39840.5058	19574.41517
5783.319939	52914.76843	645.5637513	645.5637513	39840.5058	19528.30348
5071.635542	14431.30048	345.8377239	345.8377239	7262.592202	6663.140148
5106.927435	14431.30048	345.8377239	345.8377239	7262.592202	6547.860906
5113.057652	14431.30048	345.8377239	345.8377239	7262.592202	6663.140148
5114.442598	14431.30048	345.8377239	345.8377239	7262.592202	6547.860906
5148.30756	14431.30048	345.8377239	345.8377239	7262.592202	6547.860906
4904.408586	28862.60096	0	0	0	0
4822.504163	24052.16747	0	0	0	0
4826.970628	9620.866986	0	0	0	0
4824.264831	16836.51723	0	0	0	0
4861.461063	7215.65024	0	0	0	0
4283.362313	125071.2708	1268.071654	19712.75026	329813.9094	133839.1992
4205.14415	125071.2708	1268.071654	19712.75026	329813.9094	133839.1992
4264.636064	125071.2708	1268.071654	19712.75026	329813.9094	133839.1992
4275.811932	125071.2708	1268.071654	19712.75026	329813.9094	133839.1992
4310.440555	125071.2708	1268.071654	19712.75026	329813.9094	133839.1992
4076.87439	21646.95072	0	691.6754478	2997.260274	1083.624868
4011.454278	21646.95072	0	9222.339305	11527.92413	9591.232877
4014.925834	21646.95072	0	322.7818757	2628.366702	691.6754478
4011.558429	21646.95072	0	576.3962065	2881.981033	968.345627
4041.768466	21646.95072	0	461.1169652	2766.701791	853.0663857
5037.644007	9620.866986	0	0	461.1169652	461.1169652
4961.007442	9620.866986	0	0	461.1169652	461.1169652
4976.647921	9620.866986	0	0	461.1169652	461.1169652
4968.863532	9620.866986	0	0	461.1169652	461.1169652
5003.062479	9620.866986	0	0	461.1169652	461.1169652
12161.50847	52914.76843	1337.239199	12980.44257	86274.98419	42468.8725
12340.43982	52914.76843	1337.239199	12980.44257	86274.98419	42468.8725
12350.91191	52914.76843	1337.239199	12980.44257	86274.98419	42468.8725
12377.54581	52914.76843	1337.239199	12980.44257	86274.98419	42468.8725
12504.66029	52914.76843	1337.239199	12980.44257	86274.98419	42468.8725
7476.750971	72156.5024	4611.169652	25937.82929	302608.0084	89802.52898
7449.25852	72156.5024	4611.169652	25937.82929	300302.4236	87496.94415
7539.084213	72156.5024	4611.169652	25937.82929	293385.6691	80580.18967
7568.816317	72156.5024	4611.169652	25937.82929	291080.0843	78274.60485
7632.792673	72156.5024	4611.169652	25937.82929	289466.1749	76660.69547
5750.078613	4810.433493	1498.630137	1498.630137	8415.384615	8415.384615
5800.364907	4810.433493	1498.630137	1498.630137	8415.384615	8415.384615
5735.278953	4810.433493	1498.630137	1498.630137	8415.384615	8415.384615
5744.594508	4810.433493	1498.630137	1498.630137	8415.384615	8415.384615
5806.98936	4810.433493	1498.630137	1498.630137	8415.384615	8415.384615
8016.905917	62535.63541	3458.377239	19597.47102	254767.1233	221797.2603
7422.376251	57725.20192	3458.377239	19597.47102	254767.1233	228714.0148
7934.982031	55319.98517	3458.377239	19597.47102	254767.1233	184907.9031
8025.246445	67346.0689	3458.377239	19597.47102	254767.1233	221797.2603
8041.551087	48104.33493	3458.377239	19597.47102	254767.1233	221797.2603
8560.12149	2405.216747	0	0	0	0
8424.970436	4810.433493	0	0	0	0
8443.294784	4810.433493	0	0	0	0
8433.729052	2236.851574	0	0	0	0
8494.058988	2405.216747	0	0	0	0
8796.749975	24052.16747	46.11169652	46.11169652	41546.63857	18490.79031
9088.692701	24052.16747	46.11169652	46.11169652	41546.63857	18490.79031
8882.253772	24052.16747	46.11169652	46.11169652	41546.63857	18490.79031
8888.099866	24052.16747	46.11169652	46.11169652	41546.63857	18490.79031
8809.562987	24052.16747	46.11169652	46.11169652	41546.63857	18490.79031
8874.113097	14431.30048	922.2339305	922.2339305	922.2339305	-1383.350896
8835.273358	24052.16747	922.2339305	922.2339305	922.2339305	-1383.350896
8803.940007	12026.08373	922.2339305	922.2339305	922.2339305	-1383.350896
8823.371683	16836.51723	922.2339305	922.2339305	922.2339305	-1383.350896
