wgt	income	liq	fin	asset	networth
3100.802441	25842.02437	0	0	5473.182083	-509.133217
3090.352195	25842.02437	0	0	5473.182083	-509.133217
3094.100275	25842.02437	0	0	5473.182083	-509.133217
3098.507517	25842.02437	0	0	5473.182083	-509.133217
3104.670102	25842.02437	0	0	5473.182083	-509.133217
5888.63678	28426.22681	1909.249564	1909.249564	9928.097731	-11073.64747
5880.947979	28426.22681	1909.249564	1909.249564	10055.38104	-10946.36417
5892.280696	28426.22681	1909.249564	1909.249564	9928.097731	-11073.64747
5887.018574	28426.22681	1909.249564	1909.249564	10055.38104	-10946.36417
5886.753895	28426.22681	1909.249564	1909.249564	10055.38104	-10946.36417
5240.325145	67189.26336	763.6998255	763.6998255	37675.85806	-636.4165212
5272.259149	67189.26336	763.6998255	763.6998255	37548.57475	-763.6998255
5203.287699	67189.26336	763.6998255	763.6998255	37675.85806	-636.4165212
5294.019044	67189.26336	763.6998255	763.6998255	37675.85806	-636.4165212
5269.889959	67189.26336	763.6998255	763.6998255	37675.85806	-636.4165212
2605.658376	192523.0816	51231.52996	2433974.985	3072555.323	2688159.744
2555.400783	192523.0816	51104.24666	2507672.019	3146125.073	2761729.494
2491.36197	192523.0816	51104.24666	2482215.358	3120795.695	2736400.116
2561.994942	192523.0816	51231.52996	2568895.288	3206202.792	2821807.213
2539.122196	192523.0816	51104.24666	2660411.984	3298992.321	2914596.742
4019.607007	126625.9194	39457.82432	275568.3537	868835.8348	861198.8365
3994.519457	136962.7292	39457.82432	275568.3537	867690.285	859544.1536
4083.326291	138254.8304	39457.82432	275568.3537	869090.4014	861835.2531
3985.25646	138254.8304	39457.82432	275568.3537	868963.1181	862217.103
4019.51972	117581.2109	39457.82432	275568.3537	868835.8348	862089.8197
7805.528854	41347.23899	2545.666085	5982.3153	74206.16638	73849.77312
7893.810173	62020.85849	1654.682955	10309.94764	78533.79872	77350.06399
7808.137131	63312.95971	1400.116347	5791.390343	70196.74229	69000.27923
7947.97872	41347.23899	1654.682955	6682.373473	76179.05759	75873.57766
7856.206863	41347.23899	2418.382781	6236.881908	70769.51716	69865.8057
4135.975428	200275.6889	10946.36417	293515.2996	928658.9878	375613.0308
4108.975921	200275.6889	10946.36417	293515.2996	927386.1547	376758.5806
4201.336544	200275.6889	10946.36417	293515.2996	929931.8208	377904.1303
4100.35461	201567.7901	10946.36417	293515.2996	929931.8208	377904.1303
4135.785953	200275.6889	10946.36417	293515.2996	927386.1547	376376.7307
3275.237125	67189.26336	13224.73531	78139.22048	412512.4607	126634.1594
3264.356893	67189.26336	13237.46364	78151.94881	412525.1891	126265.0378
3276.138459	67189.26336	13224.73531	78139.22048	412512.4607	127143.2926
3275.918631	67189.26336	13224.73531	78139.22048	412512.4607	127525.1425
3274.560642	67189.26336	13237.46364	78151.94881	412525.1891	126901.4543
3804.098123	34886.7329	598.23153	6962.396742	12435.57882	1094.636417
3822.613865	34886.7329	610.9598604	6975.125073	12448.30716	1425.573008
3820.074728	34886.7329	598.23153	6962.396742	12435.57882	-3347.550902
3815.141788	34886.7329	610.9598604	6975.125073	12448.30716	-4607.655614
3804.496478	34886.7329	610.9598604	6975.125073	12448.30716	1527.399651
4585.756957	54268.25118	381.8499127	381.8499127	4836.765561	-18074.2292
4578.926528	54268.25118	381.8499127	381.8499127	4836.765561	-18074.2292
