wgt	income	liq	fin	asset	networth
10308.1726	77997.5206	1016.010464	126944.068	599174.2838	443195.2126
10566.28633	77997.5206	1001.700458	134084.7613	604883.9765	448904.9052
9905.428279	77997.5206	1016.010464	148409.0778	620639.2937	465518.8228
10385.86967	77997.5206	1030.320471	131251.38	603481.5958	448933.5252
10488.54558	77997.5206	1016.010464	119789.0647	592019.2806	437471.2099
217.7316917	2972735.691	466506.2132	3879442.773	8565969.915	8565969.915
208.1237022	2958019.177	466506.2132	3898045.782	8584572.923	8584572.923
211.0085741	2958019.177	466506.2132	3899476.782	8586003.924	8586003.924
210.6468974	2972735.691	466506.2132	3898045.782	8584572.923	8584572.923
216.8474236	2972735.691	466506.2132	3899476.782	8586003.924	8586003.924
534.2051937	130976.9686	7298.103336	171863.1785	723370.8306	510294.8332
558.5312692	130976.9686	7298.103336	127502.1583	679152.9104	465933.8129
541.6745558	130976.9686	7298.103336	147536.1674	697612.8188	484393.7214
535.8201136	130976.9686	7298.103336	127502.1583	679009.8103	465790.7129
535.073836	130976.9686	7298.103336	127502.1583	679009.8103	465790.7129
4047.153054	233992.5618	79420.5363	663268.8031	9169565.991	8461220.667
4156.835725	236935.8645	79420.5363	663268.8031	9165272.989	8465513.669
3993.041109	239879.1671	79420.5363	663268.8031	9050792.937	8457643.165
3962.409856	238407.5158	79420.5363	663268.8031	9438594.114	8456784.565
4000.077381	239879.1671	79420.5363	663268.8031	9417129.104	8451919.163
6404.377432	41206.2373	1431.000654	1431.000654	4722.302158	4722.302158
6397.557353	41206.2373	1431.000654	1431.000654	4865.402224	4865.402224
6433.329233	41206.2373	1431.000654	1431.000654	4865.402224	4865.402224
6454.810622	41206.2373	1431.000654	1431.000654	4865.402224	4865.402224
6374.736689	41206.2373	1431.000654	1431.000654	4722.302158	4722.302158
1773.197776	151580.0872	32197.51472	1676703.466	2811200.785	2592257.685
1800.453909	151580.0872	32197.51472	1676703.466	2810055.984	2591112.884
1719.760376	151580.0872	32197.51472	1676703.466	2809912.884	2590969.784
1736.543836	151580.0872	32197.51472	1676703.466	2809769.784	2590826.684
1731.59377	151580.0872	32197.51472	1676703.466	2809769.784	2590826.684
269.5987326	1115511.71	1943298.888	11030153.04	40476425.9	39846785.61
303.0351235	1237658.77	1943298.888	11030153.04	35811363.77	35181723.48
272.2777222	905065.5692	1943298.888	11030153.04	53311070.77	52681430.48
277.5493857	1056645.656	1943298.888	11030153.04	55187112.62	54557472.33
253.4078099	1395125.463	1943298.888	11030153.04	60654966.12	60025325.83
8142.105972	132448.6199	2862.001308	63393.32897	231965.206	150398.1687
7958.315223	132448.6199	2862.001308	63393.32897	231965.206	150398.1687
8414.964736	132448.6199	2862.001308	63393.32897	231822.106	150255.0687
8153.334265	132448.6199	2862.001308	63393.32897	231822.106	150255.0687
7918.576124	132448.6199	2862.001308	63393.32897	231965.206	150398.1687
1629.583373	76525.86927	31482.01439	968787.4428	4893163.636	3963013.211
1620.475944	76525.86927	31482.01439	968787.4428	4893163.636	3963013.211
1605.853938	75054.21793	31482.01439	968787.4428	4893163.636	3963013.211
1589.252419	75054.21793	31482.01439	968787.4428	4893163.636	3963013.211
1603.544979	76525.86927	31482.01439	968787.4428	4893163.636	3963013.211
5482.031266	35319.63197	8586.003924	8586.003924	8586.003924	8586.003924
5487.439579	51507.79662	500.8502289	500.8502289	500.8502289	500.8502289
5446.85059	33847.98064	2432.701112	2432.701112	2432.701112	2432.701112
5460.364519	29433.02664	515.1602354	515.1602354	515.1602354	515.1602354
5509.881131	23546.42131	2003.400916	2003.400916	2003.400916	2003.400916
38.60931888	5989620.921	11127461.09	253303715.4	269409627.7	269409627.7
35.15529749	6122069.541	12309467.63	181395073.9	196948620	196948620
36.17143485	7181658.5	12717302.81	226285564.4	242829363	242829363
36.54474238	6489982.374	10649506.87	253450249.8	270313161.5	270313161.5
34.45478461	7799752.06	12528410.73	230990694.6	246572860.7	246572860.7
8514.534613	95657.33658	443.6102027	13322.61609	13322.61609	1874.610857
8505.467409	95657.33658	443.6102027	13322.61609	13322.61609	1874.610857
8553.025649	95657.33658	443.6102027	13322.61609	13322.61609	1874.610857
8581.58487	95657.33658	443.6102027	13322.61609	13322.61609	1874.610857
8475.127641	95657.33658	443.6102027	13322.61609	13322.61609	1874.610857
924.3230228	200144.5812	62964.02878	236115.1079	7791798.561	7505627.05
910.5263151	325234.9444	78418.83584	250138.9143	7804391.367	7522198.038
912.3854205	231049.2591	70119.03205	238977.1092	7793229.562	7507058.051
908.3036803	284028.7071	65826.03009	237546.1086	7793229.562	7506313.931
939.6440574	158938.3439	64395.02943	233253.1066	7787505.559	7496296.926
11003.83574	44885.36563	13809.15631	91798.69196	315177.894	309124.7613
10759.79508	46357.01696	17172.00785	77560.23545	300653.2374	294557.1746
11335.4127	44885.36563	13809.15631	124711.707	347947.809	341866.0562
10949.89587	46357.01696	13737.60628	68974.23152	292210.3336	286142.8908
11038.22734	46357.01696	15168.60693	135372.6619	358608.7639	352512.7011
8461.720759	14716.51332	286.2001308	286.2001308	96592.54415	92299.54218
8469.259695	16188.16465	286.2001308	286.2001308	96449.44408	92156.44212
8499.233738	14716.51332	286.2001308	286.2001308	96592.54415	92299.54218
8565.160576	16188.16465	286.2001308	286.2001308	96449.44408	92156.44212
8603.989115	14716.51332	286.2001308	286.2001308	96592.54415	92299.54218
5648.054769	36791.2833	2876.311315	15326.017	422703.2832	378771.5631
5586.837182	36791.2833	2869.156311	5731.157619	177107.7959	134034.6763
5757.416489	36791.2833	2876.311315	8171.013734	153818.2603	107167.639
5599.860375	36791.2833	2869.156311	31489.16939	225790.4382	182574.2184
5585.324471	36791.2833	2869.156311	11455.16024	433185.363	374657.4362
8244.384285	8829.907992	0	0	12879.00589	11448.00523
8255.01952	8829.907992	0	0	12879.00589	11448.00523
8265.26714	8829.907992	0	0	13022.10595	11591.1053
8278.42107	8829.907992	0	0	13022.10595	11591.1053
8283.814261	8829.907992	0	0	13022.10595	11591.1053
7382.853313	128033.6659	5580.902551	238834.0092	307092.7404	158268.6723
7385.21552	128033.6659	5580.902551	238834.0092	305661.7397	156837.6717
7457.894836	128033.6659	5580.902551	238834.0092	304230.739	152544.6697
7368.090939	128033.6659	5580.902551	238834.0092	305661.7397	155406.671
7353.262419	128033.6659	5580.902551	238834.0092	307092.7404	156837.6717
23.88893723	5754156.708	6117527.796	41606344.02	83142282.8	83142282.8
21.32063034	5754156.708	5128277.044	40617093.26	82152888.95	82152888.95
23.50748218	5768873.222	5153033.355	40641849.57	82177645.26	82177645.26
23.38424	5768873.222	7119228.254	42608044.47	84143840.16	84143840.16
21.62524062	5754156.708	6546827.992	42035644.21	83571439.9	83571439.9
8908.633952	41206.2373	2146.500981	26759.71223	104463.0477	43931.72008
8685.365505	41206.2373	2146.500981	118057.554	195760.8895	134370.9614
9231.596263	41206.2373	2146.500981	10875.60497	88578.94048	27904.51275
8915.382409	41206.2373	2146.500981	35059.51602	112905.9516	50228.12296
8632.454108	41206.2373	2146.500981	30623.414	108326.7495	43073.11969
1395.694375	525379.5255	253287.1158	705483.3224	4459713.538	3518115.108
1391.975953	523907.8742	253315.7358	705511.9424	4459885.258	3518286.828
1371.21793	525379.5255	253315.7358	812836.9915	4567067.207	3625468.777
1361.127771	525379.5255	253358.6658	812879.9215	4567110.137	3625511.707
1394.042958	525379.5255	253287.1158	812808.3715	4567095.827	3625497.397
5897.615132	123618.7119	7870.503597	208210.5952	240551.2099	192612.688
5874.936134	123618.7119	7870.503597	208210.5952	240694.31	191324.7874
5978.322244	123618.7119	7870.503597	208210.5952	240551.2099	192612.688
5927.628222	125090.3632	7870.503597	208210.5952	239263.3094	191324.7874
5818.201679	125090.3632	7870.503597	208210.5952	240694.31	192755.7881
379.7436574	1443101.296	615330.2812	4564892.086	33714804.71	33428604.58
426.5327302	1436331.7	615330.2812	4417499.019	33567411.64	33281211.51
382.4819737	1451048.213	615330.2812	4414637.018	33564406.54	33278206.41
390.6175844	1442365.471	615330.2812	4493342.054	33643397.78	33357197.65
413.8809634	1436331.7	615330.2812	4501928.058	33651840.68	33365640.55
8050.477323	98747.80438	5724.002616	77274.03532	1667831.262	1657814.258
8247.825483	116407.6204	5724.002616	77274.03532	1667688.162	1657671.158
7795.379776	101691.107	5724.002616	77274.03532	1667688.162	1657671.158
8200.889964	95804.50172	5724.002616	77274.03532	1667688.162	1657671.158
8312.531255	94332.85038	5724.002616	77274.03532	1667831.262	1657814.258
427.7108799	618093.5595	129219.3591	1405671.942	26614322.56	25446626.03
484.2580972	618093.5595	129219.3591	1405671.942	23995591.37	22827894.83
391.994593	618093.5595	129219.3591	1405671.942	21920640.42	20752943.88
438.2719978	618093.5595	129219.3591	1405671.942	29762524	28594827.47
464.7236651	618093.5595	129219.3591	1405671.942	24110071.42	22942374.89
7891.59004	207502.8378	14782.23676	300982.3676	489874.4539	382263.2047
7759.272505	207502.8378	14782.23676	300982.3676	489874.4539	382263.2047
7978.639594	207502.8378	14782.23676	300982.3676	489874.4539	383694.2054
7795.96839	207502.8378	14767.92675	300968.0576	489860.1439	380817.894
7805.852066	207502.8378	14782.23676	300982.3676	489874.4539	383694.2054
7349.268689	203087.8838	2575.801177	182309.4833	195903.9895	193185.0883
7321.007426	278142.1018	2289.601046	262731.7201	276326.2263	274179.7253
7449.841248	206031.1865	2003.400916	177157.881	190895.4872	188319.6861
7386.669274	235464.2131	2289.601046	341150.5559	354888.1622	351310.6606
7250.308212	151580.0872	1860.30085	182452.5834	196190.1897	193041.9882
5643.867805	179541.4625	37578.07717	325209.2086	838938.4434	326425.5592
5774.364911	181013.1138	29664.64356	317868.1753	973266.4748	459322.5899
5430.760705	179541.4625	30365.83388	315421.1642	915010.4382	401066.5533
5687.385586	181013.1138	29793.43362	316709.0647	976400.3663	462456.4814
5733.892661	181013.1138	29693.26357	316608.8947	881854.153	369341.2688
7424.999689	61809.35595	9301.504251	170432.1779	648386.3963	424291.6939
8118.925556	69167.61261	5294.70242	59529.62721	538914.8463	314820.1439
7147.22606	94185.68525	11448.00523	143815.5657	621769.7842	397675.0818
7480.652327	94185.68525	7155.00327	188892.0863	668277.3054	444182.603
7542.307143	83884.12593	39352.51799	210070.896	688025.1145	463930.412
7187.440874	26489.72398	57.24002616	57.24002616	5924.342708	5924.342708
7192.784995	26489.72398	57.24002616	57.24002616	5781.242642	5781.242642
7185.77724	26489.72398	57.24002616	57.24002616	5924.342708	5924.342708
7230.082275	26489.72398	57.24002616	57.24002616	5924.342708	5924.342708
7229.049975	26489.72398	57.24002616	57.24002616	5781.242642	5781.242642
10308.1726	176598.1598	13594.50621	108040.5494	777176.4552	347303.8587
10566.28633	176598.1598	13594.50621	108040.5494	777176.4552	347303.8587
9905.428279	176598.1598	13594.50621	108040.5494	777033.3551	347160.7587
10385.86967	176598.1598	13594.50621	108040.5494	777176.4552	347303.8587
10488.54558	176598.1598	13594.50621	108040.5494	777176.4552	347303.8587
8819.571845	33847.98064	0	11734.20536	24470.11118	24470.11118
8853.556541	33847.98064	0	11591.1053	24183.91105	24183.91105
8843.010268	33847.98064	0	11734.20536	24470.11118	24470.11118
8851.864287	33847.98064	0	11877.30543	24470.11118	24470.11118
8846.984435	33847.98064	0	12020.40549	24613.21125	24613.21125
5200.095233	30904.67797	1.431000654	1.431000654	47796.85284	10590.83584
5165.224101	30904.67797	1.431000654	1.431000654	47796.85284	10590.83584
5161.177299	30904.67797	1.431000654	1.431000654	47796.85284	10590.83584
5181.325998	30904.67797	1.431000654	1.431000654	47796.85284	10590.83584
5204.386326	30904.67797	1.431000654	1.431000654	47796.85284	10590.83584
462.3025989	314933.3851	30766.51406	193900.5886	891656.5075	591146.3702
484.7760122	314933.3851	30766.51406	193900.5886	888937.6063	588427.4689
467.3512019	314933.3851	30766.51406	193900.5886	890368.6069	589858.4696
463.6919021	314933.3851	30766.51406	193900.5886	891656.5075	591146.3702
470.0166159	314933.3851	30766.51406	193900.5886	891656.5075	591146.3702
7205.644179	63281.00728	27904.51275	259726.6187	511296.5337	497988.2276
7075.945446	63281.00728	27904.51275	302656.6383	554226.5533	540059.6468
7436.93153	63281.00728	27904.51275	176728.5808	428298.4957	413988.4892
